,outeqt100,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
11,366.3903797064449,352.1206167269829,355.90006570332986,352.8074464639388,349.8697802057128,344.83413173669277,486.4202273275525,341.3835664218192,337.22480214997427,338.86828058324585,341.78950759348703,343.51535738744195
12,365.0147759981198,351.5374958767959,356.03611300621805,353.2826488721196,350.56086086816117,346.21134814706187,486.036186857654,343.2557914802908,338.25521853288575,339.91105774755874,342.2744886598358,343.43587736083765
13,364.9467775540774,352.0532519897914,355.60840860241746,353.0113974419081,350.1802161593424,345.75522363284483,486.08739425972465,342.92378536228534,337.91179905149886,339.0754677906459,341.6562739991208,343.10280325453635
14,364.60277760283583,352.49506772717626,355.152489065255,352.8398569626808,350.03361080029583,345.46809893567,485.4518268491249,342.9208638211657,337.9755066518511,338.6566049202256,341.25594829274826,342.9173789055686
15,363.61947839202037,352.6838284329825,354.9570030415234,352.74494189076086,350.2240705228944,345.7464406790641,485.1208813609953,343.2124248389865,337.9750489890257,338.29505635326535,341.1797615663683,342.9426442048332
16,363.1552268805687,352.09384200876417,355.26908407520955,353.16767797685463,351.03388853369484,346.1028817946011,484.75631210042644,342.4532388302872,338.19588250867673,338.1959940632762,339.55739057866026,340.95084844590144
17,363.1107342015312,351.94013561550634,355.4139542559987,353.36888689387035,351.17014695281335,346.1202522524589,485.0436554046772,341.9841551692195,337.6583971017214,337.3573380017924,339.21636856623724,340.9067165745438
18,363.40306273174673,352.41774006845105,356.00347919374866,353.90150581893636,351.6295197748103,346.3285211328647,483.8764321429993,341.8766822224786,337.4755571597146,336.95306282972325,339.19913887862043,341.46797027468773
19,363.82695777237336,353.21623108763015,356.3103764686561,354.32581150327,352.04977238003096,346.7053686626303,482.4768156190329,341.9681068907828,337.520275659473,337.03571415278543,339.77158339096957,342.02934729229344
20,363.94200964858555,352.87517067370135,356.22129869827984,354.4242745026703,352.4689102756426,347.4246853893545,483.01611455124487,341.92148692360144,337.215127364657,337.33688621528046,339.5594045209959,341.57979063822023
21,363.852764456294,353.18709966898365,355.47584152889215,353.95840173259205,352.2068556003271,346.98927259579625,484.48533911907447,341.7942649376049,336.9199121788029,336.78693484247356,339.236788604165,341.44153487926184
