,div_50,div_100,div_200,div_250,div_300,div_400,div_500,div_600,div_700,div_800,div_850,div_925,div_1000
17,-3.5623088479042053e-07,6.0192192904651165e-05,1.0771153029054403e-05,-6.1176251620054245e-06,-5.495850928127766e-06,4.50498191639781e-06,1.1536176316440105e-05,3.964349161833525e-06,-1.0106130503118038e-05,-1.0404735803604126e-05,-1.2836186215281487e-05,-2.8292881324887276e-05,-3.298599040135741e-05
18,-9.976429282687604e-06,7.512891897931695e-05,1.6314559616148472e-05,7.997732609510422e-07,3.7848949432373047e-06,1.2202886864542961e-05,1.666252501308918e-06,-8.992559742182493e-06,-1.655943924561143e-05,-1.4481833204627037e-05,-1.3512209989130497e-05,-2.680427860468626e-05,-3.5264878533780575e-05
19,-6.021000444889069e-07,9.050301741808653e-05,2.0318198949098587e-05,9.570387192070484e-06,1.0004616342484951e-05,8.54110112413764e-06,-7.227121386677027e-06,-1.4490040484815836e-05,-1.6824807971715927e-05,-1.1700554750859737e-05,-1.1204509064555168e-05,-2.1757441572844982e-05,-3.8292258977890015e-05
20,1.1608819477260113e-05,9.535520803183317e-05,3.6946614272892475e-05,2.967135515064001e-05,1.7091631889343262e-05,-1.3345677871257067e-05,-8.263741619884968e-06,-9.956711437553167e-06,-8.570903446525335e-06,-1.2797187082469463e-05,-1.503585372120142e-05,-2.874282654374838e-05,-4.246341995894909e-05
21,-5.9470185078680515e-06,9.204121306538582e-05,3.333698259666562e-05,3.7533638533204794e-05,2.0724372006952763e-05,3.998167812824249e-06,-2.0593288354575634e-06,-1.2784847058355808e-05,-2.124975435435772e-05,-1.635297667235136e-05,-1.7328187823295593e-05,-3.020348958671093e-05,-3.924127668142319e-05
22,-9.299255907535553e-07,6.905599730089307e-05,3.6446843296289444e-05,1.606286969035864e-05,3.775116056203842e-06,1.5548430383205414e-06,-8.447677828371525e-06,-1.2506614439189434e-05,-1.0196701623499393e-05,-6.698654033243656e-06,-9.827082976698875e-06,-3.186427056789398e-05,-4.461687058210373e-05
23,-7.713737431913614e-06,6.141664925962687e-05,2.7470290660858154e-05,5.610287189483643e-06,-1.6026897355914116e-06,-1.3989047147333622e-06,-7.515423931181431e-06,-3.652297891676426e-06,-8.147209882736206e-06,-7.770489901304245e-06,-9.55571886152029e-06,-3.2374169677495956e-05,-4.367198562249541e-05
24,5.10714016854763e-07,3.896554699167609e-05,2.5635818019509315e-05,1.5503959730267525e-05,2.005789428949356e-05,1.2634845916181803e-05,-2.318178303539753e-06,4.4790212996304035e-06,-3.941473551094532e-06,-1.6138190403580666e-05,-2.3290864191949368e-05,-3.9203325286507607e-05,-4.837563028559089e-05
25,1.1851079761981964e-06,5.0035014282912016e-05,2.826645504683256e-05,3.615283640101552e-05,2.8109934646636248e-05,-6.544869393110275e-07,-1.3323849998414516e-05,-5.082052666693926e-06,-6.950052920728922e-06,-7.03160185366869e-06,-8.727307431399822e-06,-3.0927592888474464e-05,-4.361837636679411e-05
26,-3.4436816349625587e-06,3.738520899787545e-05,4.857021849602461e-05,2.760870847851038e-05,4.4907210394740105e-07,-9.180977940559387e-06,-1.2358010280877352e-05,-8.553965017199516e-06,-4.4871121644973755e-06,-1.1452939361333847e-06,-1.6356352716684341e-06,-2.257141750305891e-05,-3.9112986996769905e-05
