,div_50,div_100,div_200,div_250,div_300,div_400,div_500,div_600,div_700,div_800,div_850,div_925,div_1000
27,-1.7469574231654406e-05,7.41099938750267e-06,9.419978596270084e-06,-7.222406566143036e-06,-1.8328428268432617e-05,-1.3277342077344656e-05,2.203439362347126e-05,7.536786142736673e-06,-1.6525154933333397e-06,-7.260940037667751e-06,-8.14592931419611e-06,-1.4031771570444107e-05,-2.603104803711176e-05
28,3.234250470995903e-06,-5.752895958721638e-06,9.38784796744585e-06,-9.840703569352627e-06,-2.136360853910446e-05,-1.6073056031018496e-05,2.3068394511938095e-05,3.817665856331587e-06,-6.122514605522156e-06,-1.5631085261702538e-06,-1.4237593859434128e-07,-8.170027285814285e-06,-2.472265623509884e-05
29,9.556068107485771e-06,-7.862341590225697e-06,6.139860488474369e-06,-1.0023592039942741e-05,-1.4592078514397144e-05,-1.7682788893580437e-05,1.889321720227599e-05,-4.087749402970076e-06,-4.0282029658555984e-06,4.857196472585201e-06,5.7175057008862495e-06,-5.268026143312454e-06,-2.4407985620200634e-05
30,8.036789949983358e-06,-1.5475903637707233e-05,1.1261494364589453e-05,-1.0520918294787407e-05,-2.1382584236562252e-05,-1.2252654414623976e-05,2.8851209208369255e-06,3.935943823307753e-06,1.6977894119918346e-05,6.0497550293803215e-06,3.639725036919117e-06,-3.2673124223947525e-06,-2.551486250013113e-05
31,1.0856660082936287e-05,-2.466677688062191e-05,9.333365596830845e-06,-7.354072295129299e-06,-1.5143421478569508e-05,2.8996728360652924e-06,-5.131179932504892e-06,6.842892616987228e-06,1.3210112228989601e-05,3.505498170852661e-06,2.0225998014211655e-06,-7.531372830271721e-06,-2.862111432477832e-05
32,1.388241071254015e-05,-2.029072493314743e-05,2.0911800675094128e-05,-7.735099643468857e-06,-1.916952896863222e-05,8.862989488989115e-06,-3.909110091626644e-06,1.0434887371957302e-05,1.1354801245033741e-05,3.5153934732079506e-06,-1.3320241123437881e-06,-1.684145536273718e-05,-3.135896986350417e-05
33,1.0117655619978905e-05,4.804227501153946e-06,1.83784868568182e-05,-2.155313268303871e-06,-1.344713382422924e-05,1.3568613212555647e-05,1.0605435818433762e-07,1.0733958333730698e-05,-3.0384398996829987e-08,-4.0529994294047356e-06,-7.355702109634876e-06,-1.9346014596521854e-05,-3.457372076809406e-05
34,-8.610310032963753e-06,-1.5986151993274689e-06,2.8244219720363617e-05,7.1678077802062035e-06,-4.0684244595468044e-06,1.8329068552702665e-05,-7.702619768679142e-06,-5.286128725856543e-06,-4.007364623248577e-06,-1.1466327123343945e-05,-1.1778902262449265e-05,-1.3613607734441757e-05,-2.8638052754104137e-05
35,-1.581897959113121e-05,1.0631629265844822e-06,2.9939634259790182e-05,7.035385351628065e-06,-5.281821358948946e-06,-2.5350600481033325e-06,-1.40434131026268e-05,-1.3604294508695602e-06,7.847556844353676e-07,-7.488415576517582e-06,-6.071757525205612e-06,-6.849993951618671e-06,-3.1792791560292244e-05
36,-3.917957656085491e-06,-1.7960788682103157e-05,1.6456295270472765e-05,-6.06081448495388e-06,-1.7597107216715813e-05,-1.3101787772029638e-05,-1.786532811820507e-05,4.2892643250525e-06,1.1796015314757824e-05,4.088273271918297e-06,3.1831441447138786e-06,-1.8600840121507645e-06,-2.264848444610834e-05
37,-3.252411261200905e-06,3.26626468449831e-06,1.5373574569821358e-05,-1.1498341336846352e-05,-1.4847784768790007e-05,-6.860063876956701e-06,-5.724548827856779e-06,6.382062565535307e-06,7.414782885462046e-06,5.313311703503132e-06,2.300599589943886e-06,-1.169438473880291e-05,-2.889189636334777e-05
38,1.7527316231280565e-05,-6.280606612563133e-08,1.7351587302982807e-05,-1.2917444109916687e-05,-2.0189618226140738e-05,-7.188646122813225e-06,1.398212043568492e-05,1.7007114365696907e-06,-2.9998482204973698e-06,3.9121368899941444e-06,2.2301683202385902e-06,-6.2481267377734184e-06,-2.246449002996087e-05
39,1.2460339348763227e-05,-8.371425792574883e-07,1.0539195500314236e-05,-9.033945389091969e-06,-2.0170293282717466e-05,-5.248119123280048e-06,1.9538449123501778e-05,6.448710337281227e-06,2.719287294894457e-06,3.4995609894394875e-06,2.2298190742731094e-06,-1.55535526573658e-05,-2.859072992578149e-05
40,5.568028427660465e-06,3.5731936804950237e-06,1.7929982277564704e-05,-7.961061783134937e-06,-1.8435996025800705e-05,-3.200257197022438e-06,1.5279510989785194e-05,7.682363502681255e-06,2.2252206690609455e-06,1.821783371269703e-06,-1.4639226719737053e-06,-1.7942278645932674e-05,-3.048550570383668e-05
41,-5.931768100708723e-06,4.208122845739126e-06,5.32856211066246e-06,-8.428818546235561e-06,-1.830782275646925e-05,6.116693839430809e-06,1.5895813703536987e-05,9.21124592423439e-06,2.081331331282854e-06,-1.6780686564743519e-06,-4.01883153244853e-06,-1.4660530723631382e-05,-2.695299917832017e-05
42,-1.3224969734437764e-05,2.2968626581132412e-05,1.2247124686837196e-05,1.7615384422242641e-06,-2.298271283507347e-06,1.991790486499667e-05,7.219146937131882e-06,-4.039611667394638e-07,-1.1057301890105009e-05,-1.1428841389715672e-05,-9.5946597866714e-06,-1.8876278772950172e-05,-2.9941322281956673e-05
43,-8.388742571696639e-06,2.3827829863876104e-05,2.3553045537028083e-05,1.278286799788475e-05,5.307549145072699e-06,1.1693511623889208e-05,-9.372713975608349e-06,-1.0295945685356855e-05,-1.2573611456900835e-05,-1.3958080671727657e-05,-1.0157469660043716e-05,-1.4606048353016376e-05,-2.6150722987949848e-05
44,5.109235644340515e-06,-2.181564923375845e-06,2.124055754393339e-05,1.248321495950222e-05,4.8817601054906845e-06,1.2303353287279606e-06,-1.5427242033183575e-05,-7.461174391210079e-06,1.2767850421369076e-06,-7.5373100116848946e-06,-5.61645720154047e-06,-1.3459823094308376e-05,-2.9931426979601383e-05
45,9.27424116525799e-06,1.3267272152006626e-06,3.88601329177618e-05,2.9999297112226486e-05,1.3150449376553297e-05,-5.077221430838108e-06,-2.3255590349435806e-05,-9.913346730172634e-06,4.147470463067293e-06,-6.791204214096069e-06,-8.058268576860428e-06,-1.9424944184720516e-05,-3.842206206172705e-05
46,2.39572545979172e-06,-3.1276140362024307e-06,2.6671099476516247e-05,5.1622046157717705e-06,-1.2016389518976212e-05,-1.2690667062997818e-05,-7.0311944000422955e-06,2.894899807870388e-06,1.0506773833185434e-05,2.5909394025802612e-06,-7.058610208332539e-06,-1.8799095414578915e-05,-2.447236329317093e-05
47,3.8524012779816985e-06,-1.3688404578715563e-05,2.814840991050005e-05,1.121411332860589e-05,-1.1877564247697592e-05,-1.82250514626503e-05,-6.693648174405098e-06,9.04052285477519e-06,1.7773068975657225e-05,9.886804036796093e-06,-5.615293048322201e-06,-2.5686691515147686e-05,-2.9310001991689205e-05
48,4.854038706980646e-06,-1.8784950952976942e-05,3.40751139447093e-05,1.727574272081256e-05,-1.2793752830475569e-05,-9.133364073932171e-06,3.3394317142665386e-06,1.789972884580493e-05,1.1464173439890146e-05,-5.4363044910132885e-06,-1.3939454220235348e-05,-2.425967250019312e-05,-2.768088597804308e-05
49,-8.358852937817574e-06,-1.0194664355367422e-05,3.626116085797548e-05,6.843241862952709e-06,-9.369570761919022e-06,-1.7397105693817139e-06,6.957387086004019e-06,1.2692937161773443e-05,1.6795238479971886e-06,-4.36312984675169e-06,-8.086441084742546e-06,-2.753938315436244e-05,-2.7210393454879522e-05
50,7.008638931438327e-07,1.2381235137581825e-05,2.885580761358142e-05,1.8159858882427216e-05,-1.1920812539756298e-05,5.696550942957401e-06,1.368398079648614e-05,2.1939631551504135e-06,-1.3813842087984085e-06,-6.883637979626656e-06,-1.071870792657137e-05,-2.9714545235037804e-05,-3.388425102457404e-05
51,7.820504833944142e-06,7.501221261918545e-07,3.106461372226477e-05,3.893859684467316e-06,-1.4412333257496357e-05,2.3704487830400467e-06,1.1658587027341127e-05,5.873152986168861e-06,7.387890946120024e-06,4.568020813167095e-06,-1.0863062925636768e-05,-3.502226900309324e-05,-3.614631714299321e-05
52,-1.1945812730118632e-06,-8.78417631611228e-06,3.514764830470085e-05,2.3416941985487938e-07,-1.01993209682405e-05,1.9671861082315445e-06,1.0865740478038788e-05,3.3158576115965843e-06,4.726287443190813e-06,7.6089054346084595e-06,-7.3069240897893906e-06,-3.65028390660882e-05,-3.198994090780616e-05
53,-3.0794035410508513e-06,-7.87549652159214e-06,2.8824317269027233e-05,-5.855283234268427e-06,-6.6106440499424934e-06,5.827751010656357e-06,6.764777936041355e-06,5.052424967288971e-07,2.8075301088392735e-06,1.5515834093093872e-06,-1.061195507645607e-05,-2.7336878702044487e-05,-2.15824693441391e-05
