,div200,div300,div400,div500,eqt1000,eqt200,eqt250,eqt300,eqt400,eqt500,eqt600,eqt700,eqt850,eqt925,sh850_200,sh850_250,sh925_200,sh925_250,ws,wstrss10m
10,5.6573560868855566e-05,9.811330528464168e-06,-6.661690804321552e-06,-7.006907253526151e-06,335.6712951660156,355.401123046875,354.72894287109375,353.8093566894531,350.65020751953125,346.98321533203125,342.8005676269531,344.8913269042969,338.75,334.9129638671875,14.818692207336426,12.321495056152344,15.177386283874512,12.601996421813965,10.648384094238281,1.6611478328704834
11,5.615859845420346e-05,1.1737761269614566e-06,-7.666731107747182e-07,6.934340945008444e-06,336.4964599609375,356.2635498046875,355.2384033203125,353.95758056640625,350.36541748046875,347.5155334472656,343.6715087890625,343.77276611328125,338.1013488769531,335.10430908203125,17.818880081176758,15.535811424255371,18.490678787231445,16.14447021484375,12.102092742919922,1.8879265785217285
12,4.651062045013532e-05,-8.359264029422775e-06,1.7007052520057186e-05,5.251053607935319e-06,336.562744140625,357.4768981933594,355.65521240234375,354.1487121582031,351.1280517578125,347.7848815917969,343.4354248046875,342.486083984375,336.7457580566406,334.3951110839844,18.512529373168945,15.85812759399414,19.177902221679688,16.36920738220215,12.786395072937012,1.9946774244308472
13,1.4526503946399316e-05,3.925075725419447e-05,1.0155849849979859e-05,-8.961394996731542e-06,337.3751220703125,357.2813720703125,355.82080078125,354.89093017578125,352.11328125,348.2200927734375,342.30450439453125,342.08966064453125,336.4005126953125,335.02459716796875,15.847304344177246,14.013084411621094,16.425596237182617,14.733938217163086,13.361462593078613,2.084388256072998
14,3.5624485462903976e-05,2.4042146833380684e-05,-9.03618274605833e-06,-1.0150783054996282e-05,335.43414306640625,357.28265380859375,356.2679138183594,355.08026123046875,351.98724365234375,348.18939208984375,343.8314514160156,344.3589172363281,337.0366516113281,333.48419189453125,13.856253623962402,12.570585250854492,14.680649757385254,13.465492248535156,13.043371200561523,2.0347657203674316
15,4.318069841247052e-05,1.8020058632828295e-05,-1.2618975233635865e-06,-4.375587195681874e-06,335.9148254394531,357.16229248046875,356.1057434082031,355.20330810546875,352.1019592285156,348.20648193359375,343.6583251953125,343.8687438964844,337.3263244628906,334.1596984863281,15.16806411743164,12.268291473388672,15.807629585266113,12.93089485168457,12.279083251953125,1.915536880493164
16,3.35642253048718e-05,1.0723324521677569e-05,-2.0260677047190256e-07,2.398430069661117e-06,335.61712646484375,356.3039855957031,355.7386474609375,355.26239013671875,352.65521240234375,348.73284912109375,343.47625732421875,343.4932861328125,337.3906555175781,334.3393859863281,14.306066513061523,10.392680168151855,14.941658973693848,11.057929992675781,12.270296096801758,1.9141663312911987
17,4.603970592143014e-05,1.1701557923515793e-05,-5.378340688366734e-07,-2.3332947876042454e-06,335.30859375,356.3133239746094,356.1383972167969,355.5326843261719,352.53057861328125,348.3486328125,342.467529296875,343.2529296875,336.7846374511719,334.148681640625,16.514408111572266,12.166825294494629,16.85192108154297,12.605243682861328,12.425522804260254,1.9383814334869385
18,6.516474240925163e-05,-3.876402843161486e-07,1.1071329026890453e-05,-1.187824545922922e-05,335.07183837890625,357.3988342285156,356.1854248046875,355.2333679199219,351.58355712890625,347.2567138671875,343.29278564453125,345.60687255859375,337.70477294921875,334.0540466308594,16.32514190673828,10.160494804382324,17.423431396484375,11.429756164550781,12.492483139038086,1.9488275051116943
19,5.846558269695379e-05,1.6953150407061912e-05,1.8969545635627583e-05,-1.6566171325393952e-05,335.0508728027344,356.6616516113281,355.4685363769531,354.635009765625,351.36614990234375,346.0912780761719,343.15362548828125,345.58148193359375,337.4140625,333.81768798828125,15.649334907531738,11.217182159423828,16.384918212890625,12.948054313659668,12.453468322753906,1.9427410364151
20,4.8607300414005294e-05,2.079049045278225e-05,5.480913387145847e-06,-2.6124189389520325e-06,334.8973388671875,357.2379455566406,356.45654296875,355.45989990234375,352.1446533203125,346.36956787109375,341.7097473144531,344.00115966796875,337.1473388671875,333.45355224609375,16.620105743408203,15.218109130859375,17.058164596557617,15.949813842773438,11.468836784362793,1.789138674736023
21,3.2055693736765534e-05,7.91739239502931e-06,-5.513619726116303e-06,-9.573521310812794e-06,335.42657470703125,358.1112976074219,356.9300842285156,355.8620300292969,352.1878967285156,345.693603515625,339.4346618652344,342.09429931640625,336.076904296875,332.9947509765625,15.785453796386719,13.800751686096191,15.983046531677246,14.222908973693848,10.415992736816406,1.6248949766159058
